grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,universidade_nome,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Integral,6013.0,3.0,3.0,1.0,1.0,658345863564,Medicina,Vitoria,ES,Faculdade Brasileira - MULTIVIX VITÓRIA,Medicina,762.74,749.0,776.36,768.34
Bacharelado,Matutino,3644.77,2.0,1.0,3.0,3.0,65996411847541,Odontologia,Sinop,MT,Faculdade Fasipe - FASIPE,Odontologia,680.44,608.68,602.64,548.4
Bacharelado,Noturno,3644.77,1.0,1.0,4.0,4.0,65996411847543,Odontologia,Sinop,MT,Faculdade Fasipe - FASIPE,Odontologia,697.74,658.26,603.48,530.94
Bacharelado,Integral,3084.51,2.0,2.0,3.0,4.0,65969712796324,Odontologia,Trindade,GO,Faculdade União de Goyazes - FUG,Odontologia,678.94,658.3,647.12,628.7
Bacharelado,Integral,2997.76,2.0,1.0,3.0,47.0,105887912794314,Odontologia,Imperatriz,MA,Universidade do Ceuma - Uniceuma - UNICEUMA,Odontologia,714.76,666.78,561.78,557.84
Bacharelado,Matutino,2597.0,2.0,1.0,4.0,3.0,6594441093371,Odontologia,Patos,PB,Faculdades Integradas de Patos - FIP,Odontologia,702.72,676.6,683.16,591.96
Bacharelado,Noturno,2597.0,1.0,1.0,3.0,2.0,6594441093373,Odontologia,Patos,PB,Faculdades Integradas de Patos - FIP,Odontologia,689.36,686.54,608.86,608.36
Bacharelado,Integral,2492.2,2.0,1.0,4.0,2.0,658249179554,Odontologia,Porto Velho,RO,Faculdades Integradas Aparício Carvalho - FIMCA,Odontologia,667.28,608.36,565.78,521.86
Bacharelado,Matutino,2427.39,4.0,2.0,8.0,5.0,658249737531,Medicina Veterinária,Porto Velho,RO,Faculdades Integradas Aparício Carvalho - FIMCA,Medicina Veterinária,650.72,633.72,571.48,547.78
Bacharelado,Noturno,2389.67,1.0,1.0,1.0,2.0,103627312800723,Odontologia,Guarapuava,PR,Faculdade Guairacá - FAG,Odontologia,615.08,590.08,635.34,600.96
Bacharelado,Noturno,2382.53,1.0,1.0,4.0,2.0,658996998243,Odontologia,Rio Branco,AC,Faculdade Barão do Rio Branco - FAB,Odontologia,698.94,614.76,593.08,568.5
Bacharelado,Noturno,2377.17,2.0,1.0,2.0,1.0,105040512848803,Odontologia,Caceres,MT,Faculdade do Pantanal Matogrossense - FAPAN,Odontologia,626.36,619.16,621.52,597.26
Bacharelado,Integral,2347.0,1.0,1.0,3.0,2.0,107804513659614,Odontologia,Mossoro,RN,Faculdade de Ciências e Tecnologia Mater Christi - MATER CHRISTI,Odontologia,674.88,656.3,619.64,586.1
Bacharelado,Matutino,2339.1,1.0,1.0,1.0,1.0,65996412045371,Engenharia Civil,Sinop,MT,Faculdade Fasipe - FASIPE,Engenharia Civil,603.6,613.74,589.42,564.4
Bacharelado,Noturno,2339.1,2.0,1.0,3.0,3.0,65996412045373,Engenharia Civil,Sinop,MT,Faculdade Fasipe - FASIPE,Engenharia Civil,697.6,609.58,615.3,560.06
Tecnológico,Vespertino,2299.0,1.0,1.0,1.0,3.0,659695725572,Gastronomia,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Gastronomia,666.24,633.4,622.36,563.02
Tecnológico,Noturno,2299.0,1.0,3.0,2.0,3.0,659695725573,Gastronomia,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Gastronomia,671.98,632.8,594.2,501.66
Bacharelado,Integral,2255.0,1.0,1.0,2.0,1.0,106282412996324,Odontologia,Aracaju,SE,Faculdade Regional Brasileira - FARB - ARACAJU,Odontologia,688.44,677.86,638.4,639.66
Tecnológico,Vespertino,2241.0,1.0,1.0,1.0,2.0,2994218412,Gastronomia,Aguas de Sao Pedro,SP,Centro Universitário Senac - SENACSP,Gastronomia,678.32,605.32,566.82,570.14
Bacharelado,Matutino,2232.5,1.0,1.0,2.0,2.0,3196113049351,Odontologia,Campina Grande,PB,Faculdade de Campina Grande - FAC-CG,Odontologia,712.84,675.64,660.2,607.16
Bacharelado,Noturno,2232.5,1.0,1.0,2.0,2.0,3196113049353,Odontologia,Campina Grande,PB,Faculdade de Campina Grande - FAC-CG,Odontologia,710.4,671.64,642.62,596.6
Bacharelado,Noturno,2223.8,1.0,1.0,3.0,1.0,106637912849613,Odontologia,Rio Branco,AC,Faculdade Meta - FAMETA,Odontologia,646.82,652.88,598.42,604.32
Bacharelado,Matutino,2221.36,1.0,1.0,4.0,3.0,103756311578501,Odontologia,Brasilia,DF,Centro Universitário do Distrito Federal - Udf - UDF,Odontologia,685.36,667.86,649.8,632.0
Bacharelado,Noturno,2221.36,1.0,1.0,2.0,1.0,103756311578503,Odontologia,Brasilia,DF,Centro Universitário do Distrito Federal - Udf - UDF,Odontologia,714.18,691.5,654.58,609.26
Bacharelado,Noturno,2218.31,1.0,1.0,2.0,8.0,105603513647393,Odontologia,Guaranta do Norte,MT,Faculdade do Norte de Mato Grosso - AJES,Odontologia,679.32,645.52,529.4,502.48
Bacharelado,Integral,2214.0,2.0,2.0,3.0,3.0,65834512796744,Odontologia,Vitoria,ES,Faculdade Brasileira - MULTIVIX VITÓRIA,Odontologia,692.56,684.52,666.82,615.44
Bacharelado,Matutino,2173.84,1.0,2.0,1.0,2.0,100232885791,Odontologia,Sao Paulo,SP,Universidade Cidade de São Paulo - UNICID,Odontologia,659.42,652.9,587.92,606.26
Bacharelado,Noturno,2173.84,1.0,1.0,3.0,6.0,100232885793,Odontologia,Sao Paulo,SP,Universidade Cidade de São Paulo - UNICID,Odontologia,707.42,653.94,602.06,601.22
Bacharelado,Integral,2169.3,4.0,5.0,7.0,9.0,658461579264,Odontologia,Porto Velho,RO,Centro Universitário São Lucas - UniSL,Odontologia,639.18,620.28,566.8,538.08
Bacharelado,Matutino,2098.67,1.0,1.0,4.0,7.0,657790704671,Medicina Veterinária,Sao Paulo,SP,Universidade Cruzeiro do Sul - UNICSUL,Medicina Veterinária,657.32,646.34,637.98,595.16
Bacharelado,Noturno,2098.67,2.0,5.0,4.0,8.0,657790704673,Medicina Veterinária,Sao Paulo,SP,Universidade Cruzeiro do Sul - UNICSUL,Medicina Veterinária,642.44,628.9,611.82,582.24
Bacharelado,Noturno,2097.03,1.0,1.0,2.0,5.0,657936191193,Medicina Veterinária,Franca,SP,Universidade de Franca - UNIFRAN,Medicina Veterinária,681.0,693.12,595.24,540.84
Bacharelado,Matutino,2095.0,5.0,2.0,16.0,5.0,659646923011,Direito,Salvador,BA,Faculdade Baiana de Direito e Gestão,Direito,699.8,679.24,670.38,610.44
Bacharelado,Noturno,2095.0,4.0,1.0,11.0,3.0,659646923013,Direito,Salvador,BA,Faculdade Baiana de Direito e Gestão,Direito,679.18,665.94,638.96,581.82
Bacharelado,Integral,1999.0,1.0,1.0,1.0,7.0,66010012805494,Odontologia,Nova Venecia,ES,Faculdade Capixaba de Nova Venécia - MULTIVIX NOVA VENÉCI,Odontologia,657.96,646.1,597.96,592.26
Bacharelado,Noturno,1998.14,1.0,1.0,1.0,1.0,333421069403,Engenharia Mecânica,Curitiba,PR,Fae Centro Universitário - FAE,Engenharia Mecânica,648.6,623.16,639.56,541.16
Bacharelado,Vespertino,1990.0,1.0,1.0,4.0,3.0,65869412841972,Odontologia,Vitoria de Santo Antao,PE,Faculdade Escritor Osman da Costa Lins - FACOL,Odontologia,664.9,699.24,599.84,605.32
Bacharelado,Noturno,1987.0,1.0,1.0,3.0,2.0,658596866063,Fisioterapia,Valparaiso de Goias,GO,Faculdade de Ciências e Educação Sena Aires - FACESA,Fisioterapia,632.36,591.84,532.68,516.0
Bacharelado,Matutino,1987.0,1.0,1.0,2.0,1.0,658596866081,Farmácia,Valparaiso de Goias,GO,Faculdade de Ciências e Educação Sena Aires - FACESA,Farmácia,590.76,545.72,571.86,523.44
Bacharelado,Noturno,1987.0,1.0,1.0,2.0,1.0,658596866083,Farmácia,Valparaiso de Goias,GO,Faculdade de Ciências e Educação Sena Aires - FACESA,Farmácia,626.2,615.88,531.44,552.68
Bacharelado,Matutino,1987.0,1.0,1.0,2.0,2.0,658596468711,Enfermagem,Valparaiso de Goias,GO,Faculdade de Ciências e Educação Sena Aires - FACESA,Enfermagem,580.28,608.58,528.9,524.44
Bacharelado,Noturno,1987.0,2.0,1.0,2.0,1.0,658596468713,Enfermagem,Valparaiso de Goias,GO,Faculdade de Ciências e Educação Sena Aires - FACESA,Enfermagem,588.96,587.32,561.04,542.66
Bacharelado,Noturno,1984.0,3.0,2.0,3.0,4.0,65834512796743,Odontologia,Vitoria,ES,Faculdade Brasileira - MULTIVIX VITÓRIA,Odontologia,669.0,678.16,639.06,622.44
Bacharelado,Matutino,1979.0,1.0,3.0,3.0,6.0,659695883141,Audiovisual,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Audiovisual,667.74,640.06,618.22,586.3
Bacharelado,Noturno,1979.0,1.0,2.0,2.0,3.0,659695883143,Audiovisual,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Audiovisual,655.66,652.32,613.82,592.14
Bacharelado,Matutino,1974.0,2.0,5.0,3.0,7.0,65955614098351,Medicina Veterinária,Curitiba,PR,Centro Universitário Autônomo do Brasil - Unibrasil - UNIBRASIL,Medicina Veterinária,641.98,601.86,615.9,595.76
Bacharelado,Matutino,1970.0,2.0,3.0,4.0,8.0,6581381056901,Engenharia de Computação,Sao Paulo,SP,Faculdade de Informática e Administração Paulista - FIAP,Engenharia de Computação,695.3,632.9,610.88,450.0
Bacharelado,Noturno,1970.0,2.0,5.0,3.0,7.0,6581381056903,Engenharia de Computação,Sao Paulo,SP,Faculdade de Informática e Administração Paulista - FIAP,Engenharia de Computação,664.5,638.76,636.74,601.12
Bacharelado,Matutino,1955.0,1.0,1.0,2.0,1.0,65857611660321,Arquitetura e Urbanismo,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Arquitetura e Urbanismo,724.82,661.12,636.7,593.08
Bacharelado,Noturno,1955.0,2.0,1.0,1.0,1.0,65857611660323,Arquitetura e Urbanismo,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Arquitetura e Urbanismo,689.48,677.56,602.44,592.0
Bacharelado,Matutino,1926.0,1.0,1.0,1.0,1.0,104863913048351,Odontologia,Serra Talhada,PE,Faculdade de Integração do Sertão - FIS,Odontologia,706.24,685.04,671.06,654.74
Bacharelado,Matutino,1898.63,1.0,1.0,2.0,5.0,2788811131,Odontologia,Sao Paulo,SP,Universidade Cruzeiro do Sul - UNICSUL,Odontologia,646.22,637.6,624.7,582.78
Bacharelado,Noturno,1896.71,1.0,1.0,2.0,4.0,657790184423,Odontologia,Sao Paulo,SP,Universidade Cruzeiro do Sul - UNICSUL,Odontologia,634.28,647.4,580.04,561.46
Bacharelado,Noturno,1893.0,2.0,1.0,2.0,5.0,66010012805493,Odontologia,Nova Venecia,ES,Faculdade Capixaba de Nova Venécia - MULTIVIX NOVA VENÉCI,Odontologia,683.84,653.44,621.16,618.24
Bacharelado,Integral,1890.0,1.0,1.0,2.0,2.0,65994912843214,Odontologia,Matipo,MG,Faculdade Vértice - VÉRTICE,Odontologia,753.66,658.94,642.7,647.18
Bacharelado,Noturno,1883.69,1.0,1.0,4.0,3.0,106151612075523,Fisioterapia,Cuiaba,MT,Faculdade Fasipe Mato Grosso - FFMT,Fisioterapia,585.08,573.22,586.78,561.62
Bacharelado,Noturno,1883.69,2.0,2.0,7.0,6.0,65996412045333,Fisioterapia,Sinop,MT,Faculdade Fasipe - FASIPE,Fisioterapia,601.0,599.68,531.98,508.7
Bacharelado,Noturno,1883.69,2.0,2.0,3.0,2.0,65996412045343,Arquitetura e Urbanismo,Sinop,MT,Faculdade Fasipe - FASIPE,Arquitetura e Urbanismo,614.86,585.38,597.34,544.86
Bacharelado,Integral,1868.37,5.0,4.0,5.0,4.0,699379740894,Medicina Veterinária,Vicosa,MG,Faculdade de Ciências Biológicas e da Saúde - FACISA,Medicina Veterinária,665.56,644.44,649.96,605.86
Tecnológico,Noturno,1859.39,1.0,1.0,3.0,3.0,65888413044883,Gastronomia,Sinop,MT,Faculdade Sinop - FASIP,Gastronomia,571.66,543.4,529.22,465.04
Bacharelado,Noturno,1852.5,1.0,1.0,1.0,1.0,107607013532633,Odontologia,Teresina,PI,Faculdade Santo Agostinho - FSA,Odontologia,695.12,730.1,644.3,656.1
Bacharelado,Integral,1852.5,1.0,1.0,1.0,1.0,107607013532634,Odontologia,Teresina,PI,Faculdade Santo Agostinho - FSA,Odontologia,706.2,716.86,664.76,668.14
Bacharelado,Integral,1838.15,5.0,5.0,9.0,7.0,658205215564,Agronomia,Unai,MG,Faculdade de Ciências e Tecnologia de Unaí - Factu - FACTU,Agronomia,605.18,575.24,554.64,493.12
Bacharelado,Integral,1835.0,2.0,2.0,2.0,2.0,658024871824,Odontologia,Dourados,MS,Centro Universitário da Grande Dourados - Unigran - UNIGRAN,Odontologia,650.24,628.18,646.06,579.22
Bacharelado,Noturno,1823.72,3.0,3.0,4.0,3.0,18661199943,Medicina Veterinária,Colatina,ES,Centro Universitário do Espírito Santo - Unesc - UNESC,Medicina Veterinária,665.8,614.88,632.2,576.88
Bacharelado,Noturno,1783.25,1.0,1.0,2.0,27.0,106582512635903,Fisioterapia,Brasilia,DF,Faculdade Jk Brasília Asa Sul II - JK,Fisioterapia,643.58,623.3,450.0,517.18
Bacharelado,Noturno,1783.25,1.0,1.0,2.0,22.0,106582512635893,Enfermagem,Brasilia,DF,Faculdade Jk Brasília Asa Sul II - JK,Enfermagem,619.34,588.92,450.0,450.0
Tecnológico,Noturno,1766.09,4.0,2.0,6.0,4.0,6582491102283,Gastronomia,Porto Velho,RO,Faculdades Integradas Aparício Carvalho - FIMCA,Gastronomia,602.84,579.82,522.36,490.96
Bacharelado,Matutino,1755.0,1.0,1.0,3.0,2.0,107344713216671,Medicina Veterinária,Arapiraca,AL,Faculdade Regional Brasileira - Arapiraca - FARB - Arapiraca,Medicina Veterinária,648.94,631.6,624.72,573.82
Bacharelado,Noturno,1755.0,1.0,1.0,3.0,2.0,107344713216673,Medicina Veterinária,Arapiraca,AL,Faculdade Regional Brasileira - Arapiraca - FARB - Arapiraca,Medicina Veterinária,610.94,627.68,591.98,568.06
Bacharelado,Noturno,1755.0,1.0,1.0,2.0,4.0,65865812612123,Engenharia Civil,Dois VIzinhos,PR,Faculdade Educacional de Dois VIzinhos - FAED,Engenharia Civil,631.82,611.72,624.74,551.5
Bacharelado,Noturno,1755.0,2.0,4.0,2.0,6.0,13976311018343,Engenharia Civil,Francisco Beltrao,PR,Faculdade Educacional de Francisco Beltrão - FEFB,Engenharia Civil,622.64,596.1,588.96,543.84
Bacharelado,Matutino,1719.0,1.0,3.0,3.0,6.0,659695278191,Design de Moda - Estilismo,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Design de Moda - Estilismo,625.66,706.66,581.16,590.88
Bacharelado,Noturno,1697.65,2.0,1.0,1.0,1.0,65996450007503,Psicologia,Sinop,MT,Faculdade Fasipe - FASIPE,Psicologia,602.76,605.84,553.12,571.1
Bacharelado,Noturno,1692.65,4.0,1.0,12.0,3.0,658845661613,Direito,Sao Luis,MA,Unidade de Ensino Superior Dom Bosco - UNDB,Direito,704.86,688.52,616.42,564.78
Bacharelado,Noturno,1691.0,1.0,4.0,1.0,3.0,707034196003,Agronomia,Campo Mourao,PR,Centro Universitário Integrado de Campo Mourão,Agronomia,617.58,617.36,605.86,539.28
Bacharelado,Noturno,1680.0,1.0,1.0,1.0,3.0,105695111214263,Medicina Veterinária,Foz do Iguacu,PR,Centro Universitário Dinâmica das Cataratas - Udc - UDC,Medicina Veterinária,638.0,603.48,627.6,574.94
Bacharelado,Noturno,1678.36,1.0,1.0,2.0,2.0,106151612072673,Nutrição,Cuiaba,MT,Faculdade Fasipe Mato Grosso - FFMT,Nutrição,559.22,532.0,560.44,569.3
Bacharelado,Noturno,1678.36,1.0,1.0,3.0,3.0,65996411827673,Nutrição,Sinop,MT,Faculdade Fasipe - FASIPE,Nutrição,603.84,629.46,574.06,530.6
Bacharelado,Matutino,1665.0,1.0,1.0,1.0,1.0,65857611658041,Engenharia de Produção,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Engenharia de Produção,666.5,648.64,641.14,577.54
Bacharelado,Noturno,1665.0,1.0,1.0,1.0,1.0,65857611658043,Engenharia de Produção,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Engenharia de Produção,645.46,663.92,620.32,639.52
Bacharelado,Matutino,1665.0,1.0,1.0,1.0,2.0,65857612845931,Engenharia Civil,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Engenharia Civil,677.58,672.16,649.92,662.08
Bacharelado,Noturno,1665.0,1.0,1.0,1.0,1.0,65857612845933,Engenharia Civil,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Engenharia Civil,679.84,681.22,615.12,618.12
Bacharelado,Matutino,1654.0,2.0,5.0,4.0,7.0,65969511121501,Arquitetura e Urbanismo,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Arquitetura e Urbanismo,650.88,636.94,624.48,595.88
Bacharelado,Noturno,1646.99,1.0,1.0,2.0,8.0,106565212627263,Fisioterapia,Juara,MT,Faculdade do Vale do Rio Arinos - AJES,Fisioterapia,591.76,592.12,450.0,450.0
Bacharelado,Noturno,1637.6,1.0,1.0,2.0,4.0,164961133,Medicina Veterinária,Sao Joao da Boa VIsta,SP,Centro Universitário Fundação de Ensino Octávio Bastos - Feob - Unifeob - UNIFEOB,Medicina Veterinária,698.62,652.24,637.44,615.12
Tecnológico,Noturno,1635.0,4.0,7.0,9.0,16.0,658138583603,Análise e Desenvolvimento de Sistemas,Sao Paulo,SP,Faculdade de Informática e Administração Paulista - FIAP,Análise e Desenvolvimento de Sistemas,626.2,607.3,525.8,450.0
Bacharelado,Matutino,1629.14,1.0,1.0,1.0,2.0,333421102981,Psicologia,Curitiba,PR,Fae Centro Universitário - FAE,Psicologia,636.6,638.2,622.4,573.9
Bacharelado,Noturno,1629.14,1.0,1.0,1.0,1.0,333421102983,Psicologia,Curitiba,PR,Fae Centro Universitário - FAE,Psicologia,630.88,616.06,686.06,599.32
Bacharelado,Noturno,1618.48,1.0,1.0,2.0,6.0,658561684003,Engenharia Química,Telemaco Borba,PR,Faculdade de Telêmaco Borba - FATEB,Engenharia Química,634.06,581.36,587.54,450.0
Bacharelado,Noturno,1618.48,1.0,3.0,1.0,3.0,65856111512793,Engenharia de Produção,Telemaco Borba,PR,Faculdade de Telêmaco Borba - FATEB,Engenharia de Produção,590.66,539.82,572.0,450.0
Bacharelado,Noturno,1618.48,1.0,3.0,1.0,4.0,65856111512023,Engenharia Civil,Telemaco Borba,PR,Faculdade de Telêmaco Borba - FATEB,Engenharia Civil,602.08,525.52,555.38,493.5
Bacharelado,Noturno,1614.5,1.0,1.0,2.0,2.0,106151612075543,Biomedicina,Cuiaba,MT,Faculdade Fasipe Mato Grosso - FFMT,Biomedicina,614.36,611.46,585.16,595.44
Bacharelado,Matutino,1610.0,5.0,8.0,7.0,14.0,658138579841,Sistemas de Informação,Sao Paulo,SP,Faculdade de Informática e Administração Paulista - FIAP,Sistemas de Informação,633.46,618.52,532.76,450.0
Bacharelado,Noturno,1610.0,5.0,10.0,8.0,16.0,658138579843,Sistemas de Informação,Sao Paulo,SP,Faculdade de Informática e Administração Paulista - FIAP,Sistemas de Informação,637.02,623.82,569.28,552.76
Bacharelado,Matutino,1598.0,1.0,1.0,1.0,3.0,70323612615691,Medicina Veterinária,Sao Carlos,SP,Centro Universitário Central Paulista - Unicep - UNICEP,Medicina Veterinária,616.32,614.08,622.66,584.64
Bacharelado,Noturno,1597.05,1.0,1.0,1.0,1.0,65816713225113,Engenharia Mecânica,Cascavel,PR,Centro Universitário Univel,Engenharia Mecânica,676.08,647.6,606.82,579.02
Bacharelado,Vespertino,1591.3,5.0,3.0,8.0,4.0,658249942232,Fisioterapia,Porto Velho,RO,Faculdades Integradas Aparício Carvalho - FIMCA,Fisioterapia,594.94,563.56,524.54,505.52
Bacharelado,Noturno,1591.2,1.0,11.0,3.0,16.0,106818912923383,Fisioterapia,Vilhena,RO,Faculdades Integradas Aparício Carvalho VIlhena - FIMCAVILHENA,Fisioterapia,570.32,567.06,465.5,450.0
Bacharelado,Matutino,1591.0,2.0,1.0,3.0,2.0,133859559981,Direito,Montes Claros,MG,Faculdades Integradas Pitágoras - FIP-MOC,Direito,716.04,687.26,649.72,647.88
Bacharelado,Noturno,1591.0,2.0,1.0,3.0,3.0,133859559983,Direito,Montes Claros,MG,Faculdades Integradas Pitágoras - FIP-MOC,Direito,685.38,669.52,635.82,624.18
Bacharelado,Matutino,1590.0,3.0,2.0,5.0,2.0,658576533401,Direito,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Direito,721.3,690.74,685.92,648.7
Bacharelado,Noturno,1590.0,2.0,1.0,2.0,1.0,658576533403,Direito,Fortaleza,CE,Centro Universitário Sete de Setembro - FA7,Direito,712.34,686.84,682.38,641.36
Bacharelado,Matutino,1575.0,3.0,3.0,4.0,4.0,13759010577671,Direito,Brasilia,DF,Escola de Direito de Brasília - EDB,Direito,687.12,660.5,649.68,606.72
Bacharelado,Noturno,1575.0,4.0,3.0,4.0,3.0,13759010577673,Direito,Brasilia,DF,Escola de Direito de Brasília - EDB,Direito,691.66,657.26,632.66,586.18
Bacharelado,Noturno,1573.41,1.0,3.0,1.0,6.0,658461549243,Fisioterapia,Porto Velho,RO,Centro Universitário São Lucas - UniSL,Fisioterapia,613.6,592.4,554.92,615.98
Bacharelado,Noturno,1566.37,1.0,1.0,1.0,2.0,69904811678573,Engenharia Civil,Bauru,SP,Faculdades Integradas de Bauru - FIB,Engenharia Civil,651.78,615.38,581.08,517.52
Bacharelado,Matutino,1551.38,2.0,1.0,4.0,2.0,658249737551,Farmácia,Porto Velho,RO,Faculdades Integradas Aparício Carvalho - FIMCA,Farmácia,676.68,567.86,541.28,540.3
Bacharelado,Matutino,1545.0,2.0,4.0,5.0,10.0,659695870041,Design,Sao Paulo,SP,Centro Universitário Senac - SENACSP,Design,654.7,632.32,571.26,525.24
Tecnológico,Noturno,1540.0,3.0,5.0,3.0,5.0,658138700363,Redes de Computadores,Sao Paulo,SP,Faculdade de Informática e Administração Paulista - FIAP,Redes de Computadores,583.0,587.88,467.26,450.0
Bacharelado,Noturno,1539.95,1.0,3.0,1.0,3.0,106302911937813,Engenharia Mecânica,Chapeco,SC,Faculdade Empresarial de Chapecó - FAEM,Engenharia Mecânica,653.96,552.46,604.62,567.5
Bacharelado,Noturno,1539.95,1.0,4.0,1.0,3.0,106302911399353,Arquitetura e Urbanismo,Chapeco,SC,Faculdade Empresarial de Chapecó - FAEM,Arquitetura e Urbanismo,595.68,553.52,578.16,523.72
Bacharelado,Vespertino,1535.92,1.0,1.0,2.0,1.0,659166889702,Fisioterapia,Macapa,AP,Instituto Macapaense de Ensino Superior - IMMES,Fisioterapia,619.72,581.86,595.24,540.76
Bacharelado,Noturno,1535.92,1.0,1.0,2.0,1.0,659166889703,Fisioterapia,Macapa,AP,Instituto Macapaense de Ensino Superior - IMMES,Fisioterapia,611.24,578.94,587.44,583.68
Bacharelado,Matutino,1531.6,3.0,2.0,4.0,4.0,1791349721,Comunicação Social - Publicidade e Propaganda,Brasilia,DF,Centro Universitário do Instituto de Educação Superior de Brasília - Iesb - Iesb - IESB,Comunicação Social - Publicidade e Propaganda,624.54,633.74,597.7,572.82
Bacharelado,Noturno,1512.0,1.0,3.0,1.0,4.0,13976312607103,Agronomia,Francisco Beltrao,PR,Faculdade Educacional de Francisco Beltrão - FEFB,Agronomia,607.38,573.02,588.46,546.7
Bacharelado,Matutino,1511.29,1.0,1.0,1.0,30.0,65982912800701,Engenharia Civil,Caucaia,CE,Faculdade Terra Nordeste - FATENE,Engenharia Civil,688.7,693.02,450.0,450.0
Bacharelado,Matutino,1510.63,2.0,1.0,2.0,2.0,657868818451,Agronomia,Goiania,GO,Centro Universitário de Goiás - Uni-Anhangüera - UNI-ANHANGÜERA,Agronomia,627.14,610.7,651.88,582.08
Bacharelado,Noturno,1510.63,2.0,1.0,2.0,2.0,65786814066583,Medicina Veterinária,Goiania,GO,Centro Universitário de Goiás - Uni-Anhangüera - UNI-ANHANGÜERA,Medicina Veterinária,656.22,606.52,606.86,597.38
Bacharelado,Integral,1510.63,2.0,1.0,2.0,2.0,65786814066584,Medicina Veterinária,Goiania,GO,Centro Universitário de Goiás - Uni-Anhangüera - UNI-ANHANGÜERA,Medicina Veterinária,669.98,617.32,641.44,633.44
